NIVEL_ADMINISTRATIVO,GEO_COD,GEO_COD_DSG,POP_RESIDENTE_M,POP_RESIDENTE_F,POP_PRESENTE_M,POP_PRESENTE_F,POP_ATIVA_M,POP_ATIVA_F,POP_EMPREGADA_M,POP_EMPREGADA_F,POP_DESEMPREGADA_M,POP_DESEMPREGADA_F,TAXA_DESEMPREGO_M,TAXA_DESEMPREGO_F,POP_EMPREGADA_SET_PRIMARIO,POP_EMPREGADA_SET_SECUNDARIO,POP_EMPREGADA_SET_TERCIARIO,POP_DESEMPREGADA_PROC_1_EMP_M,POP_DESEMPREGADA_PROC_1_EMP_F,POP_DESEMPREGADA_PROC_NOVO_EMP_M,POP_DESEMPREGADA_PROC_NOVO_EMP_F,DENSIDADE_TOTAL,DENSIDADE_TOTAL_M,DENSIDADE_TOTAL_F,IDADE_MEDIA,M_0_14,M_15_24,M_25_64,M_65_74,M_75,F_0_14,F_15_24,F_25_64,F_65_74,F_75,COD_DISTRITO_INE,COD_CONCELHO_INE,COD_FREGUESIA_INE
6,20602,Castro Verde,2402,2496,2247,2406,1278,1106,1187,972,91,134,7.1210000000000004,12.116,128,612,1419,20,30,71,104,17,8.3000000000000007,8.5999999999999996,42.240000000000002,351,287,1346,222,196,373,258,1316,254,295,3,44,400
6,20701,Cuba,1616,1690,1587,1663,824,693,724,603,100,90,12.135999999999999,12.987,109,210,1008,22,24,78,66,47.200000000000003,23.100000000000001,24.100000000000001,42.960000000000001,249,173,896,138,160,224,193,836,200,237,3,45,404
6,20806,Canhestros,221,223,215,216,99,59,93,50,6,9,6.0609999999999999,15.254,38,43,62,1,1,5,8,6.2000000000000002,3.1000000000000001,3.1000000000000001,51.840000000000003,18,19,115,31,38,16,18,98,46,45,3,46,409
6,20907,São Miguel do Pinheiro,298,298,287,292,134,68,129,59,5,9,3.7309999999999999,13.234999999999999,33,70,85,2,1,3,8,4.2999999999999998,2.1000000000000001,2.1000000000000001,57.810000000000002,11,25,149,46,67,15,14,112,61,96,3,47,420
6,21201,Conceição,44,42,44,41,19,9,17,7,2,2,10.526,22.222000000000001,5,4,15,0,0,2,2,2.6000000000000001,1.3,1.3,56.57,4,4,20,8,8,1,1,16,10,14,3,50,448
6,21303,Pias,1399,1453,1349,1424,694,498,554,336,140,162,20.172999999999998,32.530000000000001,234,140,516,10,13,130,149,17.399999999999999,8.5,8.9000000000000004,46.579999999999998,171,135,756,156,181,176,152,649,223,253,3,51,456
6,21305,Serpa (Santa Maria),902,966,871,919,461,393,387,325,74,68,16.052,17.303000000000001,105,108,499,12,23,62,45,12.1,5.7999999999999998,6.2999999999999998,44.810000000000002,143,88,489,97,85,107,118,455,130,156,3,51,458
6,140303,Fazendas de Almeirim,3328,3621,3154,3521,1672,1456,1457,1264,215,192,12.859,13.186999999999999,396,702,1623,31,22,184,170,119.2,57.100000000000001,62.100000000000001,43.909999999999997,491,305,1833,405,294,530,291,1881,459,460,16,227,3087
6,140605,Valada,417,404,420,409,193,135,174,116,19,19,9.8450000000000006,14.074,69,63,158,4,3,15,16,19.5,9.9000000000000004,9.5999999999999996,47.899999999999999,54,35,226,61,41,38,35,196,63,72,16,230,3098
6,140606,Vale da Pinta,660,635,610,617,331,274,287,238,44,36,13.292999999999999,13.138999999999999,17,152,356,6,5,38,31,141.19999999999999,71.900000000000006,69.200000000000003,45.450000000000003,77,65,374,84,60,66,62,354,78,75,16,230,3100
